Model,Metric,Optimizer,User_based,k,RMSE,MAE,MSE,Precision,Recall,Accuracy,DataSet
KNNBasic,pearson,sgd,True,5,0.5812992002262128,0.30528190659274757,0.33790876018363475,0.7340182648401827,0.7231059148867369,76.73267326732673,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson,sgd,True,10,0.5654653777513351,0.28683061134076515,0.31975109343546004,0.7285303776683087,0.7167165365554657,77.72277227722772,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson,als,True,5,0.5372976587875005,0.28075588138189783,0.2886887741385293,0.6752450980392157,0.6744586594556506,76.23762376237624,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson,als,True,10,0.5869958618084758,0.29713495932433975,0.3445641417802752,0.578003663003663,0.5776894178644079,77.97029702970298,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson,sgd,False,5,0.5693530864062089,0.2732339577150162,0.32416293700027593,0.6664062499999999,0.6734006228146854,79.95049504950495,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson,sgd,False,10,0.5306805838305131,0.2688480957048578,0.28162188205469424,0.6558673469387755,0.6247696747696748,79.70297029702971,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson,als,False,5,0.47940365293017145,0.25003452949399024,0.2298278624427923,0.6689324116743471,0.6473839253725402,80.19801980198021,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson,als,False,10,0.5470713399335823,0.26381322298736115,0.2992870509767251,0.7190476190476189,0.7247035372035372,80.94059405940595,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,sgd,True,5,0.5163559852569822,0.2648185179292152,0.2666235035107089,0.6338383838383838,0.6176481726169784,79.45544554455446,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,sgd,True,10,0.5512759995626447,0.293439712933487,0.3039052276937931,0.6567640692640692,0.6692757998105324,75.24752475247524,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,als,True,5,0.571706322892473,0.280282476435578,0.3268481196352326,0.609055425448868,0.5807252545173166,77.97029702970298,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,als,True,10,0.5726043383108441,0.2741171761095105,0.3278757282523996,0.7064498933901918,0.6814735418225322,80.6930693069307,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,sgd,False,5,0.5891006410658641,0.3037715083249805,0.3470395653042121,0.666431924882629,0.6563624127339063,76.23762376237624,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,sgd,False,10,0.6132220592427728,0.3211943936608929,0.37604129394194685,0.694871794871795,0.6883151570651571,77.22772277227723,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,als,False,5,0.5411637799899965,0.2757087243355671,0.29285823677306133,0.7313371813371814,0.7371713752014469,80.19801980198021,upsampled_df_smote_auto_distribution_kept
KNNBasic,pearson_baseline,als,False,10,0.5902714223362097,0.2880731625890623,0.348420352026812,0.6169184981684983,0.6063842674419597,78.71287128712872,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,sgd,True,5,0.5729338370467856,0.29280359579199156,0.32825318163315265,0.655281690140845,0.6245862146056415,78.21782178217822,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,sgd,True,10,0.5613804711453648,0.2661641216167632,0.31514803338339176,0.6551959325396826,0.630520657175069,82.42574257425743,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,als,True,5,0.6013608796787118,0.29418970298173663,0.3616349076079541,0.7045572916666667,0.6857827787618084,79.95049504950495,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,als,True,10,0.5108097041994033,0.2484095771738086,0.2609265539042819,0.6481481481481481,0.6149687821256449,81.43564356435643,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,sgd,False,5,0.488673733674486,0.24445267079252786,0.2388020179833625,0.6523076923076923,0.6239653649698628,81.68316831683168,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,sgd,False,10,0.44908712068744094,0.24527389905378347,0.20167924196733614,0.6396537842190015,0.6406283117280559,79.95049504950495,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,als,False,5,0.5477562387143378,0.2792573923643681,0.3000368970504786,0.6373504273504274,0.62705745235157,79.20792079207921,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,cosine,als,False,10,0.6367816160380404,0.31075615880803426,0.40549082652401836,0.6220424107142857,0.6078151519179744,75.4950495049505,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,sgd,True,5,0.5979455948831793,0.317348570615505,0.35753893444019924,0.6651826484018265,0.6575187401791123,76.73267326732673,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,sgd,True,10,0.5909101469525501,0.30533078973879735,0.3491748017714843,0.6321056547619048,0.6274654781919421,77.47524752475248,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,als,True,5,0.5405502133685127,0.28102862796972655,0.2921945331727446,0.6390410958904109,0.6189022038337108,78.71287128712872,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,als,True,10,0.5283645818933874,0.27318569023572,0.27916913139937405,0.650563236047107,0.6498775368606545,77.22772277227723,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,sgd,False,5,0.5735827815000858,0.2880023075939574,0.3289972072333751,0.678049289891395,0.6674330657302794,79.45544554455446,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,sgd,False,10,0.5669939392821102,0.3112378042092221,0.3214821271826453,0.6978174603174604,0.6780533778508717,75.74257425742574,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,als,False,5,0.5965715121451949,0.29754152284933794,0.3558975691032044,0.6203703703703705,0.6157786168868863,76.48514851485149,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,msd,als,False,10,0.5618558037788444,0.272742246569949,0.3156819442399712,0.6871100164203613,0.686444090234255,81.1881188118812,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,pearson,sgd,True,5,0.5808675594573889,0.29485573927951503,0.33740712162998326,0.6424863387978141,0.6510933857067143,78.21782178217822,upsampled_df_smote_auto_distribution_kept
KNNWithMeans,pearson,sgd,True,10,0.5787196212126641,0.29302243444423637,0.33491639997652933,0.7272141706924315,0.7061000431160197,79.70297029702971,upsampled_df_smote_auto_distribution_kept
